skill,demand_count,salary,opportunity_score
SQL,504,19.715674603174605,9936.7
Python,336,20.66220238095238,6942.5
Power BI,318,19.63616352201258,6244.3
Excel,303,19.684818481848186,5964.5
Statistics,290,21.8848275862069,6346.600000000001
Tableau,258,21.26434108527132,5486.2
Data Visualization,178,20.70505617977528,3685.5
Agile,149,20.138926174496643,3000.7
Requirements Gathering,142,18.411971830985916,2614.5
JIRA,139,18.383453237410073,2555.3
dbt,108,16.15833333333333,1745.1
NLP,107,24.096261682242993,2578.3
Spark,106,18.530188679245285,1964.2000000000003
Airflow,104,18.34326923076923,1907.7
Kafka,103,18.05728155339806,1859.9
AWS,102,17.434313725490195,1778.3
ETL,101,16.785148514851485,1695.3
TensorFlow,101,23.522772277227723,2375.8
Scikit-learn,101,26.868316831683167,2713.7
Machine Learning,96,26.577083333333334,2551.4
